Model	M_nu(eV)	Omega_m	10^9*A_s	sigma_8(derived)
1a(fiducial)	0.00000	0.3000	2.1000	0.8523
1b(fiducial)	0.10000	0.3000	2.1000	0.8295
2	0.06271	0.3815	2.2004	1.0135
3	0.06522	0.2821	1.8826	0.7563
4	0.06773	0.4159	1.6231	0.9171
5	0.07024	0.2023	2.3075	0.6231
6	0.07275	0.3283	2.2883	0.9324
7	0.07526	0.3355	1.5659	0.7828
8	0.07778	0.2597	2.4333	0.8008
9	0.08030	0.2783	2.3824	0.8382
10	0.08282	0.2758	1.8292	0.7285
11	0.08535	0.3132	1.9913	0.8378
12	0.08788	0.2926	1.7376	0.7429
13	0.09041	0.2845	2.1757	0.8126
14	0.09295	0.3155	2.4949	0.9411
15	0.09550	0.3590	2.4624	1.0231
16	0.09805	0.3006	1.9744	0.8059
17	0.10061	0.2796	2.0161	0.7690
18	0.10318	0.3977	2.2607	1.0456
19	0.10575	0.3051	1.9117	0.8004
20	0.10833	0.2833	2.3595	0.8385
21	0.11092	0.3763	2.0404	0.9574
22	0.11351	0.1841	1.7932	0.4885
23	0.11612	0.3085	1.8056	0.7821
24	0.11874	0.3143	2.0079	0.8358
25	0.12136	0.3457	1.9483	0.8811
26	0.12400	0.3028	2.3174	0.8714
27	0.12665	0.2704	1.9658	0.7324
28	0.12931	0.2983	2.2342	0.8445
29	0.13198	0.2543	1.2886	0.5618
30	0.13467	0.3438	2.0324	0.8934
31	0.13737	0.3564	1.6678	0.8292
32	0.14008	0.3040	2.1198	0.8318
33	0.14281	0.3167	2.1596	0.8656
34	0.14556	0.2689	2.1839	0.7635
35	0.14832	0.2613	1.8724	0.6891
36	0.15110	0.3518	2.2429	0.9494
37	0.15389	0.3120	2.0484	0.8307
38	0.15671	0.2579	2.1356	0.7256
39	0.15954	0.2319	1.8620	0.6145
40	0.16240	0.3311	2.1039	0.8779
41	0.16527	0.3062	2.2171	0.8490
42	0.16817	0.2675	1.9211	0.7072
43	0.17109	0.3074	2.4475	0.8931
44	0.17404	0.3204	2.0564	0.8444
45	0.17701	0.2524	2.0644	0.6944
46	0.18001	0.2994	1.6465	0.7156
47	0.18303	0.3387	2.0243	0.8705
48	0.18608	0.2717	2.5322	0.8178
49	0.18917	0.3371	2.5769	0.9770
50	0.19228	0.2562	2.2517	0.7308
51	0.19543	0.3242	1.9022	0.8143
52	0.19861	0.2281	1.6872	0.5664
53	0.20183	0.2460	2.5535	0.7474
54	0.20508	0.2949	2.0961	0.7912
55	0.20837	0.2938	2.2978	0.8250
56	0.21171	0.3192	2.9114	0.9905
57	0.21508	0.2770	1.5292	0.6394
58	0.21851	0.2903	1.9303	0.7464
59	0.22198	0.3230	1.9393	0.8133
60	0.22550	0.3296	2.4068	0.9192
61	0.22907	0.3648	2.3276	0.9720
62	0.23270	0.3476	1.4826	0.7488
63	0.23638	0.3882	2.1921	0.9827
64	0.24013	0.2482	2.3944	0.7188
65	0.24394	0.2880	2.3708	0.8523
66	0.24782	0.3179	2.2789	0.8643
67	0.25177	0.2660	1.9571	0.6891
68	0.25580	0.2436	2.1436	0.6641
69	0.25991	0.2960	2.6708	0.8800
70	0.26411	0.3421	2.4781	0.9486
71	0.26840	0.3017	2.1118	0.7927
72	0.27278	0.2915	1.7219	0.6946
73	0.27728	0.3256	2.0802	0.8337
74	0.28188	0.2744	2.2087	0.7446
75	0.28661	0.2629	1.8405	0.6528
76	0.29147	0.3108	2.2697	0.8359
77	0.29647	0.2352	1.8176	0.5813
78	0.30162	0.2185	2.4198	0.6205
79	0.30694	0.3681	2.5128	0.9964
80	0.31244	0.2118	2.6341	0.6234
81	0.31814	0.2504	2.0882	0.6564
82	0.32406	0.3340	1.7525	0.7701
83	0.33021	0.3325	1.9996	0.8184
84	0.33664	0.2892	2.1277	0.7508
85	0.34337	0.2410	2.2256	0.6462
86	0.35044	0.2645	2.1676	0.6958
87	0.35789	0.3496	1.7802	0.7965
88	0.36578	0.2808	1.7051	0.6483
89	0.37417	0.2972	2.7836	0.8684
90	0.38317	0.2857	1.4164	0.5964
91	0.39287	0.2731	1.8925	0.6595
92	0.40343	0.3540	1.5966	0.7521
93	0.41504	0.3097	2.3486	0.8157
94	0.42800	0.2868	2.0723	0.7132
95	0.44273	0.3269	2.6034	0.8913
96	0.45988	0.2237	1.7667	0.5066
97	0.48062	0.3403	2.1516	0.8287
98	0.50723	0.2383	2.7174	0.6595
99	0.54543	0.3617	2.3380	0.8916
100	0.62036	0.3217	1.9829	0.7283
